building-with-m3-expressive/break-from-the-surrounding-shape-style-to-draw-attention-to-a-particul.png	Break from the surrounding shape style to draw attention to a particular element.
building-with-m3-expressive/expressive-app-bars-toolbars-and-buttons.png	Expressive app bars, toolbars, and buttons.
building-with-m3-expressive/expressive-typography-can-enhance-hierarchy-and-add-personality.png	Expressive typography can enhance hierarchy and add personality.
building-with-m3-expressive/group-similar-content-into-informative-groupings.png	Group similar content into informative groupings.
building-with-m3-expressive/material-design.jpg	Material Design
building-with-m3-expressive/smaller-shapes-can-result-in-essential-actions-looking-less-important.png	Smaller shapes can result in essential actions looking less important.
building-with-m3-expressive/the-expressive-color-system-can-create-a-wide-range-of-accessible-pale.png	The expressive color system can create a wide range of accessible palettes.
building-with-m3-expressive/the-shape-library-has-35-iconic-shapes-which-can-be-used-to-add-visual.png	The shape library has 35 iconic shapes, which can be used to add visual interest to decorative elements.
building-with-m3-expressive/the-updated-type-scale-includes-new-emphasized-text-styles.png	The updated type scale includes new emphasized text styles.
building-with-m3-expressive/ungrouped-information-can-blend-together.png	Ungrouped information can blend together.
building-with-m3-expressive/use-contrast-to-emphasize-the-main-takeaway-or-element.png	Use contrast to emphasize the main takeaway or element.
building-with-m3-expressive/without-contrast-elements-can-blend-together.png	Without contrast, elements can blend together.
components/app-bars-are-placed-at-the-top-of-the-screen-to-help-people-navigate-t.png	App bars are placed at the top of the screen to help people navigate through a product
components/badges-show-notifications-counts-or-status-information-on-navigation-i.png	Badges show notifications, counts, or status information on navigation items and icons
components/bottom-sheets-show-secondary-content-anchored-to-the-bottom-of-the-scr.png	Bottom sheets show secondary content anchored to the bottom of the screen
components/button-groups-organize-buttons-and-add-interactions-between-them.png	Button groups organize buttons and add interactions between them
components/buttons-prompt-most-actions-in-a-ui.png	Buttons prompt most actions in a UI
components/cards-display-content-and-actions-about-a-single-subject.png	Cards display content and actions about a single subject
components/carousels-show-a-collection-of-items-that-can-be-scrolled-on-and-off-t.png	Carousels show a collection of items that can be scrolled on and off the screen
components/checkboxes-let-users-select-one-or-more-items-from-a-list-or-turn-an-i.png	Checkboxes let users select one or more items from a list, or turn an item on or off
components/chips-help-people-enter-information-make-selections-filter-content-or-.png	Chips help people enter information, make selections, filter content, or trigger actions
components/date-pickers-let-people-select-a-date-or-a-range-of-dates.png	Date pickers let people select a date, or a range of dates
components/dialogs-provide-important-prompts-in-a-user-flow.png	Dialogs provide important prompts in a user flow
components/dividers-are-thin-lines-that-group-content-in-lists-or-other-container.png	Dividers are thin lines that group content in lists or other containers
